time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
97.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
98.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
99.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
100.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
101.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
102.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
103.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
104.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
105.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
106.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
107.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
108.0,-2.6666666666666714,-2.0,-0.5199999999999965,2.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
109.0,-2.6666666666666714,-2.0,-1.0,2.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
110.0,-2.6666666666666714,-2.0,-1.0,1.8500000000000065,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
111.0,-2.6666666666666714,-2.0,-1.0,1.285000000000008,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
112.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
113.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
114.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
115.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
116.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,-0.9200000000000141,-3.0,-1.0,0.0
117.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,0.0,-3.0,-1.0,0.0
118.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,0.0,-2.6600000000000144,-1.0,0.0
119.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,0.0,-2.0,-1.0,0.0
120.0,-2.6666666666666714,-2.0,-1.0,1.0,-2.0,-3.0,1.0,1.0,0.0,-2.0,-1.0,0.0
121.0,-2.6666666666666714,-2.0,-0.27000000000001256,1.0,-2.0,-3.0,1.0,1.0,0.0,-2.0,-1.0,0.0
122.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,0.0,-2.0,-1.0,0.0
123.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.4949999999999908,0.0,-2.0,-1.0,0.0
124.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,2.0,0.0,-2.0,-1.0,0.0
125.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,2.0,0.0,-2.0,-1.0,0.0
126.0,-2.6666666666666714,-1.620000000000011,0.0,1.0,-2.0,-3.0,1.0,2.0,0.0,-2.0,-1.0,0.0
127.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-3.0,1.0,2.0,0.5099999999999861,-2.0,-1.0,0.0
128.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-3.0,1.0,2.0,1.0,-2.0,-1.0,0.0
129.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.61500000000001,1.0,2.0,1.0,-2.0,-1.0,0.0
130.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0500000000000114,1.0,2.0,1.0,-2.0,-0.10000000000002252,0.0
131.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-2.0,0.0,0.0
132.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-2.0,0.0,0.0
133.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-2.0,0.0,0.0
134.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.790000000000001,0.0,0.0
135.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.2250000000000023,0.0,0.0
136.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
137.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
138.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
139.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
140.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
141.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
142.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
143.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
144.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
145.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
146.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
147.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
148.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
149.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,1.0,-1.0,0.0,0.0
150.0,-2.6666666666666714,-1.0,0.0,1.0,-2.0,-2.0,1.0,1.666666666666675,1.0,-1.0,0.0,0.0
151.0,-4.556666666666614,0.43999999999996064,1.3649999999999618,1.0,-2.9449999999999714,-1.370000000000019,1.3149999999999906,-3.2866666666665294,2.749999999999943,-0.6850000000000095,0.0,0.629999999999981
